method,dataset,delta,avg_time_ms,avg_candidates
LES3,kosarak,0.9,4.22926,101094
LES3,kosarak,0.8,5.50863,113792
LES3,kosarak,0.7,7.19573,137313
LES3,kosarak,0.6,9.77804,194279
LES3,kosarak,0.5,13.8915,319237
DualTrans,kosarak,0.9,6.20428,67216
DualTrans,kosarak,0.8,10.4561,107012
DualTrans,kosarak,0.7,17.4436,194741
DualTrans,kosarak,0.6,22.8577,273018
DualTrans,kosarak,0.5,34.3858,438180
LES3,lastfm,0.9,5.00445,127871
LES3,lastfm,0.8,5.58492,134003
LES3,lastfm,0.7,6.09542,140763
LES3,lastfm,0.6,6.7506,157724
LES3,lastfm,0.5,7.5404,192600
DualTrans,lastfm,0.9,7.85177,113738
DualTrans,lastfm,0.8,9.72932,135753
DualTrans,lastfm,0.7,12.9616,180693
DualTrans,lastfm,0.6,16.1819,231792
DualTrans,lastfm,0.5,23.5282,367520
LES3,retail,0.9,0.428174,3935
LES3,retail,0.8,0.531994,5426
LES3,retail,0.7,0.722223,7989
LES3,retail,0.6,1.10971,13953
LES3,retail,0.5,1.71595,24186
DualTrans,retail,0.9,4.12857,33575
DualTrans,retail,0.8,6.15341,48775
DualTrans,retail,0.7,7.95097,64458
DualTrans,retail,0.6,8.91825,72677
DualTrans,retail,0.5,10.0893,81196
