method,dataset,seed,delta,avg_ms,avg_candidates
LeBQ,kosarak,42,0.5,56.872,228826
LeBQ+,kosarak,42,0.5,24.7754,99145.5
LeBQ,kosarak,42,0.6,15.6866,58882.6
LeBQ+,kosarak,42,0.6,10.0701,34727.9
LeBQ,kosarak,42,0.7,3.8646,14192.2
LeBQ+,kosarak,42,0.7,3.31212,12304
LeBQ,kosarak,42,0.8,1.50506,8030.05
LeBQ+,kosarak,42,0.8,1.28809,7215.78
LeBQ,kosarak,42,0.9,0.733116,6898.76
LeBQ+,kosarak,42,0.9,0.745626,6896.56
LeBQ,kosarak,24,0.5,53.0278,222669
LeBQ+,kosarak,24,0.5,25.1234,94803.7
LeBQ,kosarak,24,0.6,17.1899,55571.1
LeBQ+,kosarak,24,0.6,9.30138,32654.9
LeBQ,kosarak,24,0.7,4.3818,13630.3
LeBQ+,kosarak,24,0.7,3.20448,11892
LeBQ,kosarak,24,0.8,1.52951,7610.85
LeBQ+,kosarak,24,0.8,1.27935,6765.75
LeBQ,kosarak,24,0.9,0.85393,6426.94
LeBQ+,kosarak,24,0.9,0.808469,6423.86
LeBQ,kosarak,4,0.5,52.7745,219053
LeBQ+,kosarak,4,0.5,26.2091,96924.6
LeBQ,kosarak,4,0.6,15.8275,53968.4
LeBQ+,kosarak,4,0.6,9.26829,33684.8
LeBQ,kosarak,4,0.7,4.81761,14494.8
LeBQ+,kosarak,4,0.7,3.73664,12692.8
LeBQ,kosarak,4,0.8,1.68608,8521.3
LeBQ+,kosarak,4,0.8,1.40911,7678.66
LeBQ,kosarak,4,0.9,1.08333,7412.81
LeBQ+,kosarak,4,0.9,0.987534,7409.68
LeBQ,kosarak,2,0.5,56.0188,222041
LeBQ+,kosarak,2,0.5,27.0762,97368
LeBQ,kosarak,2,0.6,16.6094,56983.7
LeBQ+,kosarak,2,0.6,9.5092,34135.8
LeBQ,kosarak,2,0.7,4.45541,14863.3
LeBQ+,kosarak,2,0.7,3.26959,13102.9
LeBQ,kosarak,2,0.8,1.55451,8762.55
LeBQ+,kosarak,2,0.8,1.45779,7926.08
LeBQ,kosarak,2,0.9,0.772331,7637.26
LeBQ+,kosarak,2,0.9,0.730648,7635.67
LeBQ,kosarak,0,0.5,49.5817,217911
LeBQ+,kosarak,0,0.5,24.9991,95467
LeBQ,kosarak,0,0.6,15.6002,54585.9
LeBQ+,kosarak,0,0.6,9.65948,33237.8
LeBQ,kosarak,0,0.7,4.04418,13879.9
LeBQ+,kosarak,0,0.7,3.35258,12180.2
LeBQ,kosarak,0,0.8,1.48816,8143.52
LeBQ+,kosarak,0,0.8,1.22952,7313.14
LeBQ,kosarak,0,0.9,0.919691,7045.5
LeBQ+,kosarak,0,0.9,0.84077,7042.03
LES3,kosarak,,0.9,7.68495,96056
LES3,kosarak,,0.8,10.454,109924
LES3,kosarak,,0.7,13.4342,135902
LES3,kosarak,,0.6,18.4412,192048
LES3,kosarak,,0.5,25.5639,316876
DualTrans,kosarak,,0.9,13.0026,66455
DualTrans,kosarak,,0.8,21.7519,108991
DualTrans,kosarak,,0.7,34.0021,195259
DualTrans,kosarak,,0.6,44.8671,275633
DualTrans,kosarak,,0.5,68.3586,444926
