method,dataset,seed,delta,avg_ms,avg_candidates
LeBQ,lastfm1k,42,0.5,15.759,117533
LeBQ+,lastfm1k,42,0.5,8.79516,85711.9
LeBQ,lastfm1k,42,0.6,4.70353,42529.1
LeBQ+,lastfm1k,42,0.6,3.55805,39089
LeBQ,lastfm1k,42,0.7,2.51628,35959.4
LeBQ+,lastfm1k,42,0.7,2.18527,35684.6
LeBQ,lastfm1k,42,0.8,2.03217,35291
LeBQ+,lastfm1k,42,0.8,1.80887,35234.3
LeBQ,lastfm1k,42,0.9,1.81722,35203.7
LeBQ+,lastfm1k,42,0.9,1.89274,35203.5
LeBQ,lastfm1k,24,0.5,16.3058,120185
LeBQ+,lastfm1k,24,0.5,10.0148,86767.3
LeBQ,lastfm1k,24,0.6,5.07935,41924.3
LeBQ+,lastfm1k,24,0.6,3.21414,38770.6
LeBQ,lastfm1k,24,0.7,2.65251,35699.6
LeBQ+,lastfm1k,24,0.7,2.17424,35464.3
LeBQ,lastfm1k,24,0.8,1.9377,35064.2
LeBQ+,lastfm1k,24,0.8,1.83477,35005.3
LeBQ,lastfm1k,24,0.9,1.80933,34981.8
LeBQ+,lastfm1k,24,0.9,1.86342,34981.5
LeBQ,lastfm1k,4,0.5,17.8865,117506
LeBQ+,lastfm1k,4,0.5,9.04703,81980.2
LeBQ,lastfm1k,4,0.6,5.62248,40528.1
LeBQ+,lastfm1k,4,0.6,3.60003,36827.1
LeBQ,lastfm1k,4,0.7,2.98049,33629.1
LeBQ+,lastfm1k,4,0.7,2.28306,33309.2
LeBQ,lastfm1k,4,0.8,1.83833,32847.5
LeBQ+,lastfm1k,4,0.8,1.87381,32773.7
LeBQ,lastfm1k,4,0.9,1.83762,32740.4
LeBQ+,lastfm1k,4,0.9,1.6578,32740
LeBQ,lastfm1k,2,0.5,20.3631,119315
LeBQ+,lastfm1k,2,0.5,10.5049,86292.2
LeBQ,lastfm1k,2,0.6,5.05708,42234.5
LeBQ+,lastfm1k,2,0.6,3.68586,39112.4
LeBQ,lastfm1k,2,0.7,2.46663,36207.1
LeBQ+,lastfm1k,2,0.7,2.27548,35939.7
LeBQ,lastfm1k,2,0.8,2.06196,35534.6
LeBQ+,lastfm1k,2,0.8,1.90894,35475.7
LeBQ,lastfm1k,2,0.9,1.84357,35452.1
LeBQ+,lastfm1k,2,0.9,1.86783,35451.8
LeBQ,lastfm1k,0,0.5,19.23,117871
LeBQ+,lastfm1k,0,0.5,10.1132,85546.9
LeBQ,lastfm1k,0,0.6,4.56168,43118.5
LeBQ+,lastfm1k,0,0.6,3.56339,39753.4
LeBQ,lastfm1k,0,0.7,2.33765,36774.5
LeBQ+,lastfm1k,0,0.7,2.2658,36524.3
LeBQ,lastfm1k,0,0.8,2.04847,36141.5
LeBQ+,lastfm1k,0,0.8,1.96368,36085.8
LeBQ,lastfm1k,0,0.9,1.93266,36060.8
LeBQ+,lastfm1k,0,0.9,1.85638,36060.6
LES3,lastfm1k,,0.9,4.88183,127871
LES3,lastfm1k,,0.9,5.00445,127871
LES3,lastfm1k,,0.8,5.58492,134003
LES3,lastfm1k,,0.7,6.09542,140763
LES3,lastfm1k,,0.6,6.7506,157724
LES3,lastfm1k,,0.5,7.5404,192600
DualTrans,lastfm1k,,0.9,7.85177,113738
DualTrans,lastfm1k,,0.8,9.72932,135753
DualTrans,lastfm1k,,0.7,12.9616,180693
DualTrans,lastfm1k,,0.6,16.1819,231792
DualTrans,lastfm1k,,0.5,23.5282,367520
