method,dataset,seed,delta,avg_ms,avg_candidates
LeBQ,retail,42,0.5,11.7096,25498
LeBQ+,retail,42,0.5,5.74891,9517.45
LeBQ,retail,42,0.6,4.96411,7628.75
LeBQ+,retail,42,0.6,2.62579,2672.4
LeBQ,retail,42,0.7,1.41627,1167.91
LeBQ+,retail,42,0.7,1.00598,568.901
LeBQ,retail,42,0.8,0.416702,163.326
LeBQ+,retail,42,0.8,0.321252,99.161
LeBQ,retail,42,0.9,0.095318,55.153
LeBQ+,retail,42,0.9,0.059869,54.096
LeBQ,retail,24,0.5,11.4789,25307.7
LeBQ+,retail,24,0.5,6.04931,9402.35
LeBQ,retail,24,0.6,4.55208,7408.58
LeBQ+,retail,24,0.6,2.77022,2605.97
LeBQ,retail,24,0.7,1.42217,1160.15
LeBQ+,retail,24,0.7,1.02666,560.891
LeBQ,retail,24,0.8,0.421178,165.014
LeBQ+,retail,24,0.8,0.335074,107.301
LeBQ,retail,24,0.9,0.095388,62.452
LeBQ+,retail,24,0.9,0.068399,61.413
LeBQ,retail,4,0.5,11.7409,26686.5
LeBQ+,retail,4,0.5,5.93652,10042.1
LeBQ,retail,4,0.6,4.67707,8057.1
LeBQ+,retail,4,0.6,2.51476,2797.77
LeBQ,retail,4,0.7,1.38198,1268.32
LeBQ+,retail,4,0.7,0.961207,589.4
LeBQ,retail,4,0.8,0.425864,165.081
LeBQ+,retail,4,0.8,0.331625,100.053
LeBQ,retail,4,0.9,0.098118,51.536
LeBQ+,retail,4,0.9,0.064588,50.339
LeBQ,retail,2,0.5,10.3623,26109.6
LeBQ+,retail,2,0.5,5.46865,9585.38
LeBQ,retail,2,0.6,4.31272,7672.96
LeBQ+,retail,2,0.6,2.28884,2622.11
LeBQ,retail,2,0.7,1.26496,1132.98
LeBQ+,retail,2,0.7,0.897217,553.87
LeBQ,retail,2,0.8,0.403411,161.996
LeBQ+,retail,2,0.8,0.306582,99.942
LeBQ,retail,2,0.9,0.091594,55.388
LeBQ+,retail,2,0.9,0.059537,54.328
LeBQ,retail,0,0.5,10.6229,25774.7
LeBQ+,retail,0,0.5,5.45477,9633.71
LeBQ,retail,0,0.6,4.30428,7641.5
LeBQ+,retail,0,0.6,2.28381,2669.14
LeBQ,retail,0,0.7,1.27561,1164.95
LeBQ+,retail,0,0.7,0.890855,561.821
LeBQ,retail,0,0.8,0.399735,162.871
LeBQ+,retail,0,0.8,0.304779,99.193
LeBQ,retail,0,0.9,0.096916,55.215
LeBQ+,retail,0,0.9,0.060982,54.227
LES3,retail,,0.9,0.732792,3299
LES3,retail,,0.8,0.884306,4631
LES3,retail,,0.7,1.19953,7257
LES3,retail,,0.6,1.85771,12695
LES3,retail,,0.5,3.04366,23214
DualTrans,retail,,0.9,7.87808,33356
DualTrans,retail,,0.8,11.4257,48207
DualTrans,retail,,0.7,15.1994,64528
DualTrans,retail,,0.6,16.8744,72867
DualTrans,retail,,0.5,18.549,81365
