method,filter,dataset,seed,delta,avg_ms,avg_candidates
lebq,none,kosarak,42,0.5,104.642,486368
lebq,none,kosarak,42,0.6,68.8282,305326
lebq,none,kosarak,42,0.7,36.0979,140112
lebq,none,kosarak,42,0.8,16.9911,60987.7
lebq,none,kosarak,42,0.9,2.97061,10221.3
lebq,sbdf,kosarak,42,0.5,99.3164,484675
lebq,sbdf,kosarak,42,0.6,56.9152,295016
lebq,sbdf,kosarak,42,0.7,28.0644,113024
lebq,sbdf,kosarak,42,0.8,11.8717,38579.2
lebq,sbdf,kosarak,42,0.9,1.19617,7393.65
lebq,cbdf,kosarak,42,0.5,51.0626,228826
lebq,cbdf,kosarak,42,0.6,14.9147,58882.6
lebq,cbdf,kosarak,42,0.7,3.89255,14192.2
lebq,cbdf,kosarak,42,0.8,1.34128,8030.05
lebq,cbdf,kosarak,42,0.9,0.831425,6898.76
lebq+,none,kosarak,42,0.5,91.41,427981
lebq+,none,kosarak,42,0.6,53.046,274662
lebq+,none,kosarak,42,0.7,28.7726,127058
lebq+,none,kosarak,42,0.8,8.69656,30873.3
lebq+,none,kosarak,42,0.9,2.11687,9095.18
lebq+,sbdf,kosarak,42,0.5,84.7598,412950
lebq+,sbdf,kosarak,42,0.6,51.7639,247332
lebq+,sbdf,kosarak,42,0.7,27.5182,97735.9
lebq+,sbdf,kosarak,42,0.8,5.90633,19014
lebq+,sbdf,kosarak,42,0.9,1.05405,7214.07
lebq+,cbdf,kosarak,42,0.5,22.8986,99145.5
lebq+,cbdf,kosarak,42,0.6,8.74895,34727.9
lebq+,cbdf,kosarak,42,0.7,2.85871,12304
lebq+,cbdf,kosarak,42,0.8,1.16709,7215.78
lebq+,cbdf,kosarak,42,0.9,0.719689,6896.56
lebq,none,kosarak,24,0.5,84.4243,480118
lebq,none,kosarak,24,0.6,56.9463,296519
lebq,none,kosarak,24,0.7,30.7748,138800
lebq,none,kosarak,24,0.8,16.38,64926.2
lebq,none,kosarak,24,0.9,2.572,9727.17
lebq,sbdf,kosarak,24,0.5,97.7131,478330
lebq,sbdf,kosarak,24,0.6,60.8303,286377
lebq,sbdf,kosarak,24,0.7,27.8286,109914
lebq,sbdf,kosarak,24,0.8,10.57,38925.7
lebq,sbdf,kosarak,24,0.9,1.18943,6918.37
lebq,cbdf,kosarak,24,0.5,49.6465,222669
lebq,cbdf,kosarak,24,0.6,15.6625,55571.1
lebq,cbdf,kosarak,24,0.7,3.89568,13630.3
lebq,cbdf,kosarak,24,0.8,1.33953,7610.85
lebq,cbdf,kosarak,24,0.9,0.719668,6426.94
lebq+,none,kosarak,24,0.5,102.598,420038
lebq+,none,kosarak,24,0.6,89.4234,264968
lebq+,none,kosarak,24,0.7,47.8924,123118
lebq+,none,kosarak,24,0.8,11.1343,31236.9
lebq+,none,kosarak,24,0.9,2.37461,8388.6
lebq+,sbdf,kosarak,24,0.5,130.11,405262
lebq+,sbdf,kosarak,24,0.6,58.8938,239067
lebq+,sbdf,kosarak,24,0.7,25.0547,91941.6
lebq+,sbdf,kosarak,24,0.8,5.73245,18793.9
lebq+,sbdf,kosarak,24,0.9,1.0096,6698.4
lebq+,cbdf,kosarak,24,0.5,24.4643,94803.7
lebq+,cbdf,kosarak,24,0.6,9.04409,32654.9
lebq+,cbdf,kosarak,24,0.7,3.0284,11892
lebq+,cbdf,kosarak,24,0.8,1.16093,6765.75
lebq+,cbdf,kosarak,24,0.9,0.656797,6423.86
lebq,none,kosarak,4,0.5,103.719,468704
lebq,none,kosarak,4,0.6,71.7471,281005
lebq,none,kosarak,4,0.7,31.5071,130235
lebq,none,kosarak,4,0.8,14.9387,60827.3
lebq,none,kosarak,4,0.9,3.06975,11176.4
lebq,sbdf,kosarak,4,0.5,90.1086,466843
lebq,sbdf,kosarak,4,0.6,68.8087,270158
lebq,sbdf,kosarak,4,0.7,25.7225,105107
lebq,sbdf,kosarak,4,0.8,10.3809,38943.4
lebq,sbdf,kosarak,4,0.9,1.28979,7963.28
lebq,cbdf,kosarak,4,0.5,46.2644,219053
lebq,cbdf,kosarak,4,0.6,14.8509,53968.4
lebq,cbdf,kosarak,4,0.7,4.19554,14494.8
lebq,cbdf,kosarak,4,0.8,1.42819,8521.3
lebq,cbdf,kosarak,4,0.9,0.771687,7412.81
lebq+,none,kosarak,4,0.5,80.3369,410277
lebq+,none,kosarak,4,0.6,50.3372,253894
lebq+,none,kosarak,4,0.7,27.3924,117701
lebq+,none,kosarak,4,0.8,8.62518,28902.2
lebq+,none,kosarak,4,0.9,2.34615,9658.9
lebq+,sbdf,kosarak,4,0.5,76.0607,395974
lebq+,sbdf,kosarak,4,0.6,48.344,230648
lebq+,sbdf,kosarak,4,0.7,23.354,91018.9
lebq+,sbdf,kosarak,4,0.8,5.99548,18065.2
lebq+,sbdf,kosarak,4,0.9,1.18453,7743.09
lebq+,cbdf,kosarak,4,0.5,23.4571,96924.6
lebq+,cbdf,kosarak,4,0.6,10.0024,33684.8
lebq+,cbdf,kosarak,4,0.7,3.2653,12692.8
lebq+,cbdf,kosarak,4,0.8,1.10962,7678.66
lebq+,cbdf,kosarak,4,0.9,0.738964,7409.68
lebq,none,kosarak,2,0.5,87.8059,477222
lebq,none,kosarak,2,0.6,55.9393,294633
lebq,none,kosarak,2,0.7,30.0683,139304
lebq,none,kosarak,2,0.8,14.6758,60686.5
lebq,none,kosarak,2,0.9,2.57555,10361.5
lebq,sbdf,kosarak,2,0.5,90.7437,475267
lebq,sbdf,kosarak,2,0.6,54.957,284414
lebq,sbdf,kosarak,2,0.7,25.6803,110961
lebq,sbdf,kosarak,2,0.8,9.41068,37233
lebq,sbdf,kosarak,2,0.9,1.212,8052.43
lebq,cbdf,kosarak,2,0.5,46.9215,222041
lebq,cbdf,kosarak,2,0.6,14.5686,56983.7
lebq,cbdf,kosarak,2,0.7,3.97414,14863.3
lebq,cbdf,kosarak,2,0.8,1.35452,8762.55
lebq,cbdf,kosarak,2,0.9,0.760574,7637.26
lebq+,none,kosarak,2,0.5,84.6942,415657
lebq+,none,kosarak,2,0.6,51.1894,261746
lebq+,none,kosarak,2,0.7,27.8359,125087
lebq+,none,kosarak,2,0.8,8.33154,30441.5
lebq+,none,kosarak,2,0.9,2.25813,9399.93
lebq+,sbdf,kosarak,2,0.5,76.9682,399143
lebq+,sbdf,kosarak,2,0.6,46.8796,233951
lebq+,sbdf,kosarak,2,0.7,22.4632,94792.4
lebq+,sbdf,kosarak,2,0.8,5.55794,18326.7
lebq+,sbdf,kosarak,2,0.9,1.12383,7917.23
lebq+,cbdf,kosarak,2,0.5,24.2216,97368
lebq+,cbdf,kosarak,2,0.6,8.78365,34135.8
lebq+,cbdf,kosarak,2,0.7,2.95005,13102.9
lebq+,cbdf,kosarak,2,0.8,1.07647,7926.08
lebq+,cbdf,kosarak,2,0.9,0.735151,7635.67
lebq,none,kosarak,0,0.5,82.3062,476265
lebq,none,kosarak,0,0.6,55.2257,292747
lebq,none,kosarak,0,0.7,28.5889,131798
lebq,none,kosarak,0,0.8,14.4429,59742.2
lebq,none,kosarak,0,0.9,2.78657,10541.3
lebq,sbdf,kosarak,0,0.5,94.3746,474389
lebq,sbdf,kosarak,0,0.6,58.043,282140
lebq,sbdf,kosarak,0,0.7,25.183,105017
lebq,sbdf,kosarak,0,0.8,9.88488,37221.6
lebq,sbdf,kosarak,0,0.9,1.27526,7589.67
lebq,cbdf,kosarak,0,0.5,45.629,217911
lebq,cbdf,kosarak,0,0.6,14.5044,54585.9
lebq,cbdf,kosarak,0,0.7,3.94982,13879.9
lebq,cbdf,kosarak,0,0.8,1.33584,8143.52
lebq,cbdf,kosarak,0,0.9,0.728678,7045.5
lebq+,none,kosarak,0,0.5,76.9246,415639
lebq+,none,kosarak,0,0.6,50.5795,263508
lebq+,none,kosarak,0,0.7,26.5739,118285
lebq+,none,kosarak,0,0.8,8.79689,28982.1
lebq+,none,kosarak,0,0.9,2.21647,9203.98
lebq+,sbdf,kosarak,0,0.5,74.8478,400070
lebq+,sbdf,kosarak,0,0.6,48.0156,237094
lebq+,sbdf,kosarak,0,0.7,23.5163,89127.7
lebq+,sbdf,kosarak,0,0.8,5.73674,18290.2
lebq+,sbdf,kosarak,0,0.9,1.12249,7369.01
lebq+,cbdf,kosarak,0,0.5,22.2843,95467
lebq+,cbdf,kosarak,0,0.6,8.93608,33237.8
lebq+,cbdf,kosarak,0,0.7,2.94414,12180.2
lebq+,cbdf,kosarak,0,0.8,1.05156,7313.14
lebq+,cbdf,kosarak,0,0.9,0.697778,7042.03
