method,filter,dataset,seed,delta,avg_ms,avg_candidates
lebq,none,lastfm1k,42,0.5,62.167,550087
lebq,none,lastfm1k,42,0.6,25.8219,118594
lebq,none,lastfm1k,42,0.7,10.2279,58650
lebq,none,lastfm1k,42,0.8,5.25449,44251.9
lebq,none,lastfm1k,42,0.9,2.50614,36074.2
lebq,sbdf,lastfm1k,42,0.5,57.9379,541056
lebq,sbdf,lastfm1k,42,0.6,21.5813,110176
lebq,sbdf,lastfm1k,42,0.7,7.92669,52320.3
lebq,sbdf,lastfm1k,42,0.8,3.7414,39244
lebq,sbdf,lastfm1k,42,0.9,1.98266,35303.4
lebq,cbdf,lastfm1k,42,0.5,18.488,117533
lebq,cbdf,lastfm1k,42,0.6,5.0812,42529.1
lebq,cbdf,lastfm1k,42,0.7,2.55048,35959.4
lebq,cbdf,lastfm1k,42,0.8,2.00102,35291
lebq,cbdf,lastfm1k,42,0.9,1.96232,35203.7
lebq+,none,lastfm1k,42,0.5,38.9421,272678
lebq+,none,lastfm1k,42,0.6,19.6538,107248
lebq+,none,lastfm1k,42,0.7,7.95956,54861.3
lebq+,none,lastfm1k,42,0.8,3.87536,39704.3
lebq+,none,lastfm1k,42,0.9,2.19588,35678.2
lebq+,sbdf,lastfm1k,42,0.5,36.4774,249842
lebq+,sbdf,lastfm1k,42,0.6,17.4071,95334.1
lebq+,sbdf,lastfm1k,42,0.7,6.72306,48651.3
lebq+,sbdf,lastfm1k,42,0.8,3.03183,37136
lebq+,sbdf,lastfm1k,42,0.9,1.92137,35270.7
lebq+,cbdf,lastfm1k,42,0.5,9.78777,85711.9
lebq+,cbdf,lastfm1k,42,0.6,3.65297,39089
lebq+,cbdf,lastfm1k,42,0.7,2.30608,35684.6
lebq+,cbdf,lastfm1k,42,0.8,1.94097,35234.3
lebq+,cbdf,lastfm1k,42,0.9,1.83333,35203.5
lebq,none,lastfm1k,24,0.5,58.9139,556978
lebq,none,lastfm1k,24,0.6,23.338,118915
lebq,none,lastfm1k,24,0.7,9.01609,59205.2
lebq,none,lastfm1k,24,0.8,5.13015,44524.9
lebq,none,lastfm1k,24,0.9,2.39138,35778.2
lebq,sbdf,lastfm1k,24,0.5,58.9087,547930
lebq,sbdf,lastfm1k,24,0.6,22.0826,110695
lebq,sbdf,lastfm1k,24,0.7,7.56912,51696.4
lebq,sbdf,lastfm1k,24,0.8,3.77036,39194.8
lebq,sbdf,lastfm1k,24,0.9,1.97732,35084.2
lebq,cbdf,lastfm1k,24,0.5,18.4152,120185
lebq,cbdf,lastfm1k,24,0.6,4.8488,41924.3
lebq,cbdf,lastfm1k,24,0.7,2.48394,35699.6
lebq,cbdf,lastfm1k,24,0.8,1.98096,35064.2
lebq,cbdf,lastfm1k,24,0.9,1.85519,34981.8
lebq+,none,lastfm1k,24,0.5,43.4287,279236
lebq+,none,lastfm1k,24,0.6,20.7046,108167
lebq+,none,lastfm1k,24,0.7,8.41277,55464.4
lebq+,none,lastfm1k,24,0.8,3.71984,39086
lebq+,none,lastfm1k,24,0.9,2.11504,35375.5
lebq+,sbdf,lastfm1k,24,0.5,38.2932,256109
lebq+,sbdf,lastfm1k,24,0.6,18.176,95793.2
lebq+,sbdf,lastfm1k,24,0.7,6.67538,48298.8
lebq+,sbdf,lastfm1k,24,0.8,2.93729,36649.4
lebq+,sbdf,lastfm1k,24,0.9,1.91238,35042.9
lebq+,cbdf,lastfm1k,24,0.5,9.75434,86767.3
lebq+,cbdf,lastfm1k,24,0.6,3.61484,38770.6
lebq+,cbdf,lastfm1k,24,0.7,2.29634,35464.3
lebq+,cbdf,lastfm1k,24,0.8,1.91829,35005.3
lebq+,cbdf,lastfm1k,24,0.9,1.83012,34981.5
lebq,none,lastfm1k,4,0.5,59.3183,528550
