method,filter,dataset,seed,delta,avg_ms,avg_candidates
lebq,none,retail,42,0.5,12.75,41663.9
lebq,none,retail,42,0.6,9.29091,30074.5
lebq,none,retail,42,0.7,6.81222,19951.6
lebq,none,retail,42,0.8,4.17106,11945.7
lebq,none,retail,42,0.9,1.50312,2907.43
lebq,sbdf,retail,42,0.5,14.9891,41626.5
lebq,sbdf,retail,42,0.6,11.3384,29716
lebq,sbdf,retail,42,0.7,6.95215,18084.4
lebq,sbdf,retail,42,0.8,3.41864,7173.76
lebq,sbdf,retail,42,0.9,0.307519,332.771
lebq,cbdf,retail,42,0.5,10.6531,25498
lebq,cbdf,retail,42,0.6,4.44068,7628.75
lebq,cbdf,retail,42,0.7,1.50946,1167.91
lebq,cbdf,retail,42,0.8,0.430285,163.326
lebq,cbdf,retail,42,0.9,0.095696,55.153
lebq+,none,retail,42,0.5,12.4455,40651.5
lebq+,none,retail,42,0.6,9.2118,28825.3
lebq+,none,retail,42,0.7,6.02641,18391.6
lebq+,none,retail,42,0.8,3.25276,8627.48
lebq+,none,retail,42,0.9,0.892973,1570.15
lebq+,sbdf,retail,42,0.5,14.9443,40314.9
lebq+,sbdf,retail,42,0.6,10.8603,27756.8
lebq+,sbdf,retail,42,0.7,6.34585,15563.2
lebq+,sbdf,retail,42,0.8,2.49546,4297.19
lebq+,sbdf,retail,42,0.9,0.172791,208.449
lebq+,cbdf,retail,42,0.5,5.95564,9517.45
lebq+,cbdf,retail,42,0.6,2.51421,2672.4
lebq+,cbdf,retail,42,0.7,0.96033,568.901
lebq+,cbdf,retail,42,0.8,0.302338,99.161
lebq+,cbdf,retail,42,0.9,0.061465,54.096
