method,dataset,seed,M,delta,avg_ms,avg_candidates
lebq,kosarak,42,4,0.7,10.7176,41908
lebq,kosarak,42,6,0.7,6.1947,21863.8
lebq,kosarak,42,8,0.7,4.19761,14192.2
lebq,kosarak,42,10,0.7,3.13265,9810.64
lebq,kosarak,42,12,0.7,2.35903,7978.51
lebq+,kosarak,42,4,0.7,8.64204,37280.1
lebq+,kosarak,42,6,0.7,4.78657,18941.6
lebq+,kosarak,42,8,0.7,3.32042,12304
lebq+,kosarak,42,10,0.7,2.64144,8836.91
lebq+,kosarak,42,12,0.7,3.6544,7459.73
lebq,kosarak,24,4,0.7,10.7522,42832.5
lebq,kosarak,24,6,0.7,6.46939,21548.5
lebq,kosarak,24,8,0.7,4.20989,13630.3
lebq,kosarak,24,10,0.7,2.95147,9683.53
lebq,kosarak,24,12,0.7,2.40827,7723.22
lebq+,kosarak,24,4,0.7,8.92457,38359.3
lebq+,kosarak,24,6,0.7,4.53862,18586.3
lebq+,kosarak,24,8,0.7,3.0457,11892
lebq+,kosarak,24,10,0.7,2.58409,8784.37
lebq+,kosarak,24,12,0.7,3.36755,7194.71
lebq,kosarak,4,4,0.7,9.68824,40701.6
lebq,kosarak,4,6,0.7,6.20494,21967.5
lebq,kosarak,4,8,0.7,4.33108,14494.8
lebq,kosarak,4,10,0.7,2.84583,10276.2
lebq,kosarak,4,12,0.7,2.28668,8183.95
lebq+,kosarak,4,4,0.7,8.11102,36395.7
lebq+,kosarak,4,6,0.7,4.63682,18972.2
lebq+,kosarak,4,8,0.7,3.26566,12692.8
lebq+,kosarak,4,10,0.7,2.72066,9343.08
lebq+,kosarak,4,12,0.7,4.00854,7693.77
lebq,kosarak,2,4,0.7,9.61384,43109.8
lebq,kosarak,2,6,0.7,5.84133,22747.5
lebq,kosarak,2,8,0.7,4.02949,14863.3
lebq,kosarak,2,10,0.7,2.69857,10609.2
lebq,kosarak,2,12,0.7,2.08984,8422.21
lebq+,kosarak,2,4,0.7,8.01272,38883.1
lebq+,kosarak,2,6,0.7,4.5106,20083.5
lebq+,kosarak,2,8,0.7,3.1367,13102.9
lebq+,kosarak,2,10,0.7,2.60593,9700.36
lebq+,kosarak,2,12,0.7,3.89936,7944.74
lebq,kosarak,0,4,0.7,10.5505,41657.7
lebq,kosarak,0,6,0.7,6.44409,21650
lebq,kosarak,0,8,0.7,4.30184,13879.9
lebq,kosarak,0,10,0.7,3.00759,9721.06
lebq,kosarak,0,12,0.7,2.37322,7854.65
lebq+,kosarak,0,4,0.7,8.1316,37379
lebq+,kosarak,0,6,0.7,4.31161,18906.7
lebq+,kosarak,0,8,0.7,3.20141,12180.2
lebq+,kosarak,0,10,0.7,2.74726,8933.83
lebq+,kosarak,0,12,0.7,3.58527,7388.41
