method,dataset,seed,M,delta,avg_ms,avg_candidates
lebq,lastfm1k,42,4,0.7,4.32332,75582.9
lebq,lastfm1k,42,6,0.7,2.88673,48644.6
lebq,lastfm1k,42,8,0.7,2.81473,35959.4
lebq,lastfm1k,42,10,0.7,2.26508,28288.1
lebq,lastfm1k,42,12,0.7,2.00471,23777.9
lebq+,lastfm1k,42,4,0.7,3.9974,74785
lebq+,lastfm1k,42,6,0.7,2.60711,48133.3
lebq+,lastfm1k,42,8,0.7,2.30152,35684.6
lebq+,lastfm1k,42,10,0.7,2.20531,28205.9
lebq+,lastfm1k,42,12,0.7,2.1697,23748.9
lebq,lastfm1k,24,4,0.7,4.33644,75634.6
lebq,lastfm1k,24,6,0.7,2.8455,48291.5
lebq,lastfm1k,24,8,0.7,2.53945,35699.6
lebq,lastfm1k,24,10,0.7,2.09113,28234.7
lebq,lastfm1k,24,12,0.7,1.87433,23421.3
lebq+,lastfm1k,24,4,0.7,3.6673,74965.1
lebq+,lastfm1k,24,6,0.7,2.52203,47916.4
lebq+,lastfm1k,24,8,0.7,2.16233,35464.3
lebq+,lastfm1k,24,10,0.7,2.15768,28161.3
lebq+,lastfm1k,24,12,0.7,2.21253,23397.6
lebq,lastfm1k,4,4,0.7,4.51272,71836.7
lebq,lastfm1k,4,6,0.7,3.02659,45813.7
lebq,lastfm1k,4,8,0.7,2.7167,33629.1
lebq,lastfm1k,4,10,0.7,2.24629,26537.2
lebq,lastfm1k,4,12,0.7,1.86861,22272.2
lebq+,lastfm1k,4,4,0.7,3.99082,70888
lebq+,lastfm1k,4,6,0.7,2.40519,45257.7
lebq+,lastfm1k,4,8,0.7,2.14611,33309.2
lebq+,lastfm1k,4,10,0.7,2.04084,26439.9
lebq+,lastfm1k,4,12,0.7,2.12263,22241.9
lebq,lastfm1k,2,4,0.7,4.11371,76707.3
lebq,lastfm1k,2,6,0.7,2.72058,48816
lebq,lastfm1k,2,8,0.7,2.33295,36207.1
lebq,lastfm1k,2,10,0.7,2.14122,28358.9
lebq,lastfm1k,2,12,0.7,1.8059,23832
lebq+,lastfm1k,2,4,0.7,3.7073,75775
lebq+,lastfm1k,2,6,0.7,2.3455,48284.2
lebq+,lastfm1k,2,8,0.7,2.09148,35939.7
lebq+,lastfm1k,2,10,0.7,1.93517,28264.1
lebq+,lastfm1k,2,12,0.7,2.04121,23802
lebq,lastfm1k,0,4,0.7,3.96668,77982.8
lebq,lastfm1k,0,6,0.7,2.62691,49844.4
lebq,lastfm1k,0,8,0.7,2.34637,36774.5
lebq,lastfm1k,0,10,0.7,1.99911,29104.4
lebq,lastfm1k,0,12,0.7,1.94355,24155.1
lebq+,lastfm1k,0,4,0.7,3.59349,77182
lebq+,lastfm1k,0,6,0.7,2.32609,49396.1
lebq+,lastfm1k,0,8,0.7,2.06347,36524.3
lebq+,lastfm1k,0,10,0.7,1.92831,29028.4
lebq+,lastfm1k,0,12,0.7,2.0016,24125.3
