method,dataset,seed,M,delta,avg_ms,avg_candidates
lebq,retail,42,4,0.7,2.23942,5719.18
lebq,retail,42,6,0.7,1.71383,2599.25
lebq,retail,42,8,0.7,1.41369,1167.91
lebq,retail,42,10,0.7,1.37199,520.691
lebq,retail,42,12,0.7,1.05796,198.515
lebq+,retail,42,4,0.7,1.67715,4002.71
lebq+,retail,42,6,0.7,0.952756,1477.42
lebq+,retail,42,8,0.7,0.906246,568.901
lebq+,retail,42,10,0.7,1.08949,261.985
lebq+,retail,42,12,0.7,1.64287,153.203
lebq,retail,24,4,0.7,2.08661,5893.51
lebq,retail,24,6,0.7,1.43312,2612.21
lebq,retail,24,8,0.7,1.35252,1160.15
lebq,retail,24,10,0.7,1.36654,527.02
lebq,retail,24,12,0.7,1.13577,214.186
lebq+,retail,24,4,0.7,1.60807,4117.69
lebq+,retail,24,6,0.7,0.95828,1468.9
lebq+,retail,24,8,0.7,0.875377,560.891
lebq+,retail,24,10,0.7,1.07054,275.846
lebq+,retail,24,12,0.7,1.6534,160.897
lebq,retail,4,4,0.7,2.58564,6363.3
lebq,retail,4,6,0.7,1.65424,2779.17
lebq,retail,4,8,0.7,1.50446,1268.32
lebq,retail,4,10,0.7,1.54969,551.356
lebq,retail,4,12,0.7,1.14581,209.377
lebq+,retail,4,4,0.7,1.57393,4370.72
lebq+,retail,4,6,0.7,1.03659,1520.06
lebq+,retail,4,8,0.7,1.12479,589.4
lebq+,retail,4,10,0.7,1.18648,262.864
lebq+,retail,4,12,0.7,1.76136,144.195
lebq,retail,2,4,0.7,2.15328,6012.73
lebq,retail,2,6,0.7,1.51767,2618.84
lebq,retail,2,8,0.7,1.39283,1132.98
lebq,retail,2,10,0.7,1.36786,560.459
lebq,retail,2,12,0.7,1.08903,205.077
lebq+,retail,2,4,0.7,1.55038,4224.12
lebq+,retail,2,6,0.7,1.03359,1472.1
lebq+,retail,2,8,0.7,1.04525,553.87
lebq+,retail,2,10,0.7,1.11737,274.889
lebq+,retail,2,12,0.7,1.70463,153.006
lebq,retail,0,4,0.7,2.30272,5963.35
lebq,retail,0,6,0.7,1.60107,2699.76
lebq,retail,0,8,0.7,1.36962,1164.95
lebq,retail,0,10,0.7,1.3948,543.957
lebq,retail,0,12,0.7,1.14876,202.321
lebq+,retail,0,4,0.7,1.65743,4145.06
lebq+,retail,0,6,0.7,0.950687,1515.94
lebq+,retail,0,8,0.7,1.01724,561.821
lebq+,retail,0,10,0.7,1.12891,269.881
lebq+,retail,0,12,0.7,1.6103,151.291
