method,dataset,seed,prop,delta,avg_ms,avg_candidates
lebq,kosarak,42,0.25,0.7,0.964922,3631.93
lebq+,kosarak,42,0.25,0.7,0.745965,3160.05
lebq,kosarak,24,0.25,0.7,0.982849,3664.15
lebq+,kosarak,24,0.25,0.7,0.670346,3180.95
lebq,kosarak,4,0.25,0.7,0.965156,3488.23
lebq+,kosarak,4,0.25,0.7,0.845136,2992.99
lebq,kosarak,2,0.25,0.7,0.997214,3522.49
lebq+,kosarak,2,0.25,0.7,0.789155,3100.46
lebq,kosarak,0,0.25,0.7,0.995769,3578.49
lebq+,kosarak,0,0.25,0.7,0.767368,3086.96
lebq,kosarak,42,0.5,0.7,2.18238,7088.77
lebq+,kosarak,42,0.5,0.7,1.61694,6113.58
lebq,kosarak,24,0.5,0.7,2.10058,7066.52
lebq+,kosarak,24,0.5,0.7,1.4857,6149.58
lebq,kosarak,4,0.5,0.7,2.34887,7204.51
lebq+,kosarak,4,0.5,0.7,1.60053,6237.08
lebq,kosarak,2,0.5,0.7,1.84326,7361.56
lebq+,kosarak,2,0.5,0.7,1.53896,6521.52
lebq,kosarak,0,0.5,0.7,2.31022,6990.53
lebq+,kosarak,0,0.5,0.7,1.58022,6071.95
lebq,kosarak,42,0.75,0.7,3.30949,10757.3
lebq+,kosarak,42,0.75,0.7,2.52096,9290.85
lebq,kosarak,24,0.75,0.7,3.14434,10483.1
lebq+,kosarak,24,0.75,0.7,2.41158,9065.02
lebq,kosarak,4,0.75,0.7,3.40703,10789.5
lebq+,kosarak,4,0.75,0.7,2.60132,9429.71
lebq,kosarak,2,0.75,0.7,3.36367,11028.5
lebq+,kosarak,2,0.75,0.7,2.43107,9715.22
lebq,kosarak,0,0.75,0.7,3.52741,10775
lebq+,kosarak,0,0.75,0.7,2.33129,9454.11
lebq,kosarak,42,1.0,0.7,4.44816,14192.2
lebq+,kosarak,42,1.0,0.7,3.28296,12304
lebq,kosarak,24,1.0,0.7,4.27336,13630.3
lebq+,kosarak,24,1.0,0.7,3.35563,11892
lebq,kosarak,4,1.0,0.7,4.54186,14494.8
lebq+,kosarak,4,1.0,0.7,3.60348,12692.8
lebq,kosarak,2,1.0,0.7,4.45782,14863.3
lebq+,kosarak,2,1.0,0.7,3.48105,13102.9
lebq,kosarak,0,1.0,0.7,4.45821,13879.9
lebq+,kosarak,0,1.0,0.7,3.24317,12180.2
