method,dataset,seed,prop,delta,avg_ms,avg_candidates
lebq,lastfm1k,42,0.25,0.7,0.525293,8606.44
lebq+,lastfm1k,42,0.25,0.7,0.488499,8539.59
lebq,lastfm1k,24,0.25,0.7,0.549102,8818.27
lebq+,lastfm1k,24,0.25,0.7,0.47538,8751.64
lebq,lastfm1k,4,0.25,0.7,0.549425,8634.96
lebq+,lastfm1k,4,0.25,0.7,0.481829,8564.5
lebq,lastfm1k,2,0.25,0.7,0.546811,8953.06
lebq+,lastfm1k,2,0.25,0.7,0.513981,8881.93
lebq,lastfm1k,0,0.25,0.7,0.523433,9043.59
lebq+,lastfm1k,0,0.25,0.7,0.461775,8997.09
lebq,lastfm1k,42,0.5,0.7,1.22182,17873.6
lebq+,lastfm1k,42,0.5,0.7,1.08643,17715.7
lebq,lastfm1k,24,0.5,0.7,1.13505,17617.1
lebq+,lastfm1k,24,0.5,0.7,1.02792,17484.9
lebq,lastfm1k,4,0.5,0.7,1.20517,17162.5
lebq+,lastfm1k,4,0.5,0.7,1.0035,17032.8
lebq,lastfm1k,2,0.5,0.7,1.19795,17964.7
lebq+,lastfm1k,2,0.5,0.7,0.986311,17832.7
lebq,lastfm1k,0,0.5,0.7,1.08885,18030.9
lebq+,lastfm1k,0,0.5,0.7,0.990194,17913.8
lebq,lastfm1k,42,0.75,0.7,1.8084,25830.6
lebq+,lastfm1k,42,0.75,0.7,1.66063,25615.5
lebq,lastfm1k,24,0.75,0.7,1.76566,27038.6
lebq+,lastfm1k,24,0.75,0.7,1.58676,26850.7
lebq,lastfm1k,4,0.75,0.7,1.7336,24922.3
lebq+,lastfm1k,4,0.75,0.7,1.57068,24704
lebq,lastfm1k,2,0.75,0.7,1.79274,27903.6
lebq+,lastfm1k,2,0.75,0.7,1.69044,27722.1
lebq,lastfm1k,0,0.75,0.7,1.7644,27702.6
lebq+,lastfm1k,0,0.75,0.7,1.70102,27495.3
lebq,lastfm1k,42,1.0,0.7,2.55606,35959.4
lebq+,lastfm1k,42,1.0,0.7,2.32194,35684.6
lebq,lastfm1k,24,1.0,0.7,2.55166,35699.6
lebq+,lastfm1k,24,1.0,0.7,2.25854,35464.3
lebq,lastfm1k,4,1.0,0.7,2.53251,33629.1
lebq+,lastfm1k,4,1.0,0.7,2.33966,33309.2
lebq,lastfm1k,2,1.0,0.7,2.61274,36207.1
lebq+,lastfm1k,2,1.0,0.7,2.36617,35939.7
lebq,lastfm1k,0,1.0,0.7,2.46441,36774.5
lebq+,lastfm1k,0,1.0,0.7,2.25812,36524.3
