method,dataset,seed,prop,delta,avg_ms,avg_candidates
lebq,retail,42,0.25,0.7,0.415138,303.327
lebq+,retail,42,0.25,0.7,0.314514,143.976
lebq,retail,24,0.25,0.7,0.396814,288.618
lebq+,retail,24,0.25,0.7,0.301777,139.121
lebq,retail,4,0.25,0.7,0.452406,294.389
lebq+,retail,4,0.25,0.7,0.329072,141.266
lebq,retail,2,0.25,0.7,0.420827,305.715
lebq+,retail,2,0.25,0.7,0.316964,145.984
lebq,retail,0,0.25,0.7,0.41773,284.128
lebq+,retail,0,0.25,0.7,0.308924,137.841
lebq,retail,42,0.5,0.7,0.805182,600.228
lebq+,retail,42,0.5,0.7,0.565436,285.484
lebq,retail,24,0.5,0.7,0.732529,590.601
lebq+,retail,24,0.5,0.7,0.539763,280.892
lebq,retail,4,0.5,0.7,0.786587,611.44
lebq+,retail,4,0.5,0.7,0.57333,289.451
lebq,retail,2,0.5,0.7,0.783591,577.309
lebq+,retail,2,0.5,0.7,0.55513,274.415
lebq,retail,0,0.5,0.7,0.733991,549.592
lebq+,retail,0,0.5,0.7,0.52829,270.469
lebq,retail,42,0.75,0.7,1.22056,867.763
lebq+,retail,42,0.75,0.7,0.79419,412.339
lebq,retail,24,0.75,0.7,1.01184,817.435
lebq+,retail,24,0.75,0.7,0.720382,402.187
lebq,retail,4,0.75,0.7,1.07688,882.693
lebq+,retail,4,0.75,0.7,0.786908,420.439
lebq,retail,2,0.75,0.7,1.07414,861.677
lebq+,retail,2,0.75,0.7,0.757843,412.728
lebq,retail,0,0.75,0.7,1.06996,862.232
lebq+,retail,0,0.75,0.7,0.719058,421.253
lebq,retail,42,1.0,0.7,1.32951,1167.91
lebq+,retail,42,1.0,0.7,0.984854,568.901
lebq,retail,24,1.0,0.7,1.33428,1160.15
lebq+,retail,24,1.0,0.7,0.91134,560.891
lebq,retail,4,1.0,0.7,1.43087,1268.32
lebq+,retail,4,1.0,0.7,1.03522,589.4
lebq,retail,2,1.0,0.7,1.34515,1132.98
lebq+,retail,2,1.0,0.7,1.02682,553.87
lebq,retail,0,1.0,0.7,1.41532,1164.95
lebq+,retail,0,1.0,0.7,0.93513,561.821
